datetime,NO2_BRINGELLY,NO2_CAMDEN,NO2_CAMPBELLTOWN_WEST,NO2_LIVERPOOL,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,OZONE_ABERDEEN,OZONE_BULGA,OZONE_CAMBERWELL,OZONE_JERRYS PLAINS,OZONE_MAISON DIEU,OZONE_MERRIWA,OZONE_MOUNT THORLEY,OZONE_MUSWELLBROOK,OZONE_MUSWELLBROOK NW,OZONE_SINGLETON,OZONE_SINGLETON NW,OZONE_SINGLETON SOUTH,OZONE_WARKWORTH,OZONE_WYBONG,OZONE_BERESFIELD,OZONE_CARRINGTON,OZONE_MAYFIELD,OZONE_NEWCASTLE,OZONE_STOCKTON,OZONE_WALLSEND,OZONE_MORISSET,OZONE_WYONG,OZONE_ALBION PARK,OZONE_ALBION PARK RAIL,OZONE_ALBION PARK SOUTH,OZONE_KEMBLA GRANGE,OZONE_WARRAWONG,OZONE_WOLLONGONG,OZONE_BRADFIELD HIGHWAY,OZONE_ALBURY,OZONE_ARMIDALE,OZONE_BATHURST,OZONE_COFFS HARBOUR,OZONE_GOULBURN,OZONE_GUNNEDAH,OZONE_NARRABRI,OZONE_ORANGE,OZONE_PORT MACQUARIE,OZONE_TAMWORTH,OZONE_WAGGA WAGGA,OZONE_WAGGA WAGGA NORTH,OZONE_BARGO,OZONE_BLACKTOWN ,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN,OZONE_CAMPBELLTOWN WEST,OZONE_CHULLORA,OZONE_COOK AND PHILLIP,OZONE_EARLWOOD,OZONE_LIDCOMBE,OZONE_LIDCOMBE (FORMER),OZONE_LINDFIELD,OZONE_LIVERPOOL,OZONE_MACARTHUR,OZONE_MACQUARIE PARK,OZONE_OAKDALE,OZONE_PARRAMATTA NORTH ,OZONE_PENRITH,OZONE_PROSPECT,OZONE_RANDWICK,OZONE_RICHMOND,OZONE_ROUSE HILL,OZONE_ROZELLE,OZONE_ST MARYS,OZONE_SYDNEY,OZONE_VINEYARD,OZONE_WOOLOOWARE,OZONE_ARMIDALE,OZONE_BOURKE,OZONE_BROKEN HILL,OZONE_BURONGA,OZONE_COBAR,OZONE_CONDOBOLIN,OZONE_COOMA,OZONE_COOMBAH,OZONE_COWRA,OZONE_DENILIQUIN,OZONE_DUBBO,OZONE_EUSTON,OZONE_GRAFTON,OZONE_GRIFFITH,OZONE_GUNNEDAH,OZONE_GUNNEDAH SOUTH EAST,OZONE_HAY,OZONE_HILLSTON,OZONE_IVANHOE,OZONE_JUNEE,OZONE_KYALITE,OZONE_LAKE VICTORIA,OZONE_LAMEROO,OZONE_LISMORE,OZONE_LODDON PLAINS,OZONE_MERIMBULA,OZONE_MOOLAWATANA,OZONE_MOREE,OZONE_NARRANDERA,OZONE_PARKES,OZONE_POONCARIE,OZONE_RAND,OZONE_TEMORA,OZONE_TIBOOBURRA,OZONE_WAGGA WAGGA NORTH,OZONE_WALGETT,OZONE_WALPEUP,OZONE_WERRIMULL,OZONE_WEST WYALONG,OZONE_WHITE CLIFFS,OZONE_WYCHEPROOF,OZONE_CAMMERAY,OZONE_CATARACT RFS,OZONE_KATOOMBA,OZONE_KURRAJONG HEIGHTS,OZONE_LIVERPOOL SWAQS,OZONE_PORT KEMBLA,OZONE_PORT KEMBLA STEELWORKS,OZONE_WENTWORTH FALLS,OZONE_KURRI KURRI,OZONE_BOWRAL,OZONE_BATEMANS BAY,OZONE_COFFS HARBOUR,OZONE_COFFS HARBOUR,OZONE_COOMA,OZONE_GRAFTON,OZONE_LISMORE,OZONE_MERIMBULA,OZONE_PORT MACQUARIE,OZONE_TAREE,OZONE_ULLADULLA,PM25_CAMDEN,PM25_LIVERPOOL,PM25_BRINGELLY,WDR_BRINGELLY,WDR_CAMDEN,WDR_CAMPBELLTOWN_WEST,WDR_LIVERPOOL,WSP_BRINGELLY,WSP_CAMDEN,WSP_CAMPBELLTOWN_WEST,WSP_LIVERPOOL,hour,season_number,forecast_hours
2019-01-01 10:00:00+10:00,0.2628,0.324783,0.288695,0.249159,6.2133,6.1122,5.0473,5.596,3.8539,0.2183,2.6743,3.6289,0.8057,1.1955,1.2734,1.4107,1.493,0,0.695,0.9531,0.0843,0.869,0.9015,4.0517,0,0.047,5.1201,0.8149,0,3.7054,0.5837,1.4745,0.2862,0.6087,3.0642,4.888,1.211,1.5031,0.3745,1.7697,4.9548,0.0931,3.4662,0.4,0,2.3029,0,2.6252,1.7999,0.5319,0.0359,0.1904,0.8079,3.7534,1.5966,0.3383,2.4742,4.196,0.4049,1.3886,0.5529,0.1521,0,0.6853,1.7988,0.9705,0.0124,0.9675,0.8388,0.2046,0.2587,4.0574,0,0,0.5728,3.6234,3.2422,3.1656,0.8876,1.9879,0.8576,1.7738,0.7601,0,0.1496,2.1809,2.5725,0.7325,4.3731,2.722,1.5056,0.2821,1.7188,4.4581,2.9739,3.8388,2.3376,0,3.2606,3.7549,1.7004,0.1116,0.6928,3.0938,0.1555,0.3362,1.2401,0.9043,0.8118,1.032,2.675,0.7552,4.2982,2.8633,0.1852,0.4502,0.8522,2.5328,1.0134,0.3931,0.1658,1.5409,5.0683,0,1.3177,3.1352,1.9435,0,5.5672,1.7179,2.6684,0.146,1.4832,0.2637,0,0,0.6806,0,0.6791,1.3394,67.157,105.365,282.4,89.512,0.799,0.629,0.217,0.94,10,1,-11
2019-01-01 11:00:00+10:00,0.2103,0.240199,0.415773,0.440914,6.0963,5.7623,6.5732,7.61,1.8581,0.4941,3.8436,0.9994,2.1994,2.8212,0.7829,0.4538,1.7144,0.8098,0,3.3756,0.399,0.9204,0.5252,0.8172,0.9815,3.7765,1.6187,0.8489,0,0.7495,0,0.1651,1.8666,2.2844,0,0.9861,0.8825,1.7853,1.381,1.7114,1.076,0.7794,0.3767,0.9762,0,3.0588,0.7921,0.2048,2.1049,0,0,1.3175,0.9753,4.1891,1.4596,3.1983,4.707,0,3.5727,1.2269,0.8753,0.1333,1.3409,2.0806,3.9705,0.1043,0.6752,3.7144,0.8619,1.3653,0.4622,0.6918,2.6624,1.2774,3.909,5.1628,4.2165,0.5,3.036,0,1.9061,1.6012,0.8615,2.4003,0.8082,1.7809,1.3638,0.3743,3.715,0.1656,4.1196,0,0.6975,2.2373,0,0.4534,5.082,1.6276,1.1606,0.9523,3.65,0.106,1.0824,0.1845,2.3441,0,0.67,0.0878,0.9071,1.3445,0,2.8024,1.8637,3.1084,3.6219,0.8525,2.1042,0.0985,0.5954,3.924,0,3.3024,0.8981,2.279,0,4.9545,0.8472,2.6618,0,1.8423,1.6512,0,3.8834,0,1.9759,0.8914,0.2566,1.4546,0.803,1.8262,85.426,37.385,62.489,75.499,1.682,0.898,3.315,3.24,11,1,-10
2019-01-01 12:00:00+10:00,0.3683,0.34598,0.458698,0.454959,7.8137,7.2683,7.5747,7.6375,0.8665,0.5322,3.4242,1.7185,2.7648,3.2894,2.4731,4.1741,0.6645,1.7222,0,0.0249,1.2542,3.9371,0.655,0,0,2.9191,0.6138,1.8778,1.3418,1.6411,0.0158,0.1743,0.3625,2.0777,0.6427,3.2516,0.1947,2.5723,1.2061,0,0,1.7588,3.1932,2.9854,2.5218,0.6314,0.5627,0.4559,1.7214,0,1.9098,1.5156,0.3399,1.4972,0.5705,3.7479,0.5292,3.5567,2.2892,0,1.0028,3.9706,0.0935,1.3548,0,0,0.6413,0.0269,2.6795,1.0173,0.3664,1.0136,0,1.8486,4.5994,1.7337,0.3453,2.2918,0.346,0.5786,1.2909,2.489,0.7918,0.4096,0.9467,2.4125,4.5554,5.894,0.4651,4.1793,0.9156,0.5793,0.6753,4.7703,2.8522,1.4477,1.5345,0.0507,0,0.9056,2.6283,3.1701,0.9755,3.4374,2.9968,1.7995,1.7093,0.6773,1.1654,0,1.0936,1.0995,1.1381,2.7494,0.4095,1.2406,2.2528,1.186,0.4342,1.9518,0.4887,0.4981,2.4421,0,0.1069,0.7374,1.5727,4.3446,3.9467,0.149,0.3356,0.9968,4.7279,0.1381,0.4302,0,3.7894,1.8756,0.0144,1.4638,96.348,61.972,66.53,85.311,3.699,2.694,3.867,3.693,12,1,-9
2019-01-01 13:00:00+10:00,0.3288,0.362998,0.382132,0.53333,7.971,7.8617,6.5655,7.3348,1.4053,0,1.6978,2.4778,3.1236,1.8379,0.5345,0.9343,0.8856,0,0.9674,1.907,0.8208,0.5283,1.3633,1.2631,3.3567,2.8498,0.1654,1.0416,0.8796,0,2.4388,0.174,0,4.2426,0.8752,1.6798,1.0228,0.3577,5.7281,0,0.7907,0.1851,0,0.2046,4.2561,0.7707,1.8726,0.7072,2.682,0.2248,0.5972,0,1.7516,0.4213,0.4186,2.0316,1.8223,4.1673,1.3455,0.0938,0,0,2.1073,0,1.363,0.2288,2.1993,0,0.5859,1.2174,2.3336,5.4059,3.0221,1.1447,0.6204,1.6133,2.5707,1.4209,0,1.7384,0.6227,0.1021,2.8938,1.6152,0.2842,1.2042,3.1916,0.6046,4.7136,1.5759,0,0.8065,1.5903,1.9667,1.3817,0.0746,0.4739,0.9986,0.7242,0.5991,0.3821,0.0366,2.604,4.1882,1.1647,0.2134,0.7113,3.0021,3.7114,3.4951,1.0885,3.8691,1.6674,3.7058,1.6456,5.4957,2.2558,0.563,0.645,5.4423,0,0.7834,1.4218,0.7603,0.7235,4.8871,0,0,0.2552,2.2309,3.1528,3.3084,2.2473,1.7801,2.7151,0,2.1569,0.4862,1.228,4.5911,80.148,57.746,72.273,98.87,3.347,2.623,3.975,4.487,13,1,-8
2019-01-01 14:00:00+10:00,0.3557,0.276478,0.266334,0.346563,7.7947,6.8163,5.4002,6.0898,2.9999,5.2727,2.4198,4.1078,3.7218,0.5554,1.56,2.339,3.8613,0.7338,0,0.5643,0,0,1.4572,2.3152,2.8387,0.3399,0.4762,0.1084,0,0,0,0.8153,1.1218,0,0.4361,0.4493,0,0,0.2681,0,1.2382,3.0916,1.2105,0.3215,1.6417,0,0.8592,0.7986,0.7052,3.8035,2.0816,0.9927,0.3439,4.5148,0.186,0.209,0,2.0437,0.985,0.8806,0.8331,0.2648,1.5138,2.442,2.2767,1.0149,0,0,0.0516,0.2337,4.4978,1.6408,0,1.2797,0.5613,0.3971,3.8349,0,4.921,1.4705,1.1139,1.2886,0.5061,1.3626,2.52,2.016,0.2581,2.3201,3.1086,3.9846,1.6584,1.4664,2.3267,1.3795,2.2911,2.2952,5.5336,4.1473,0.5365,3.6605,0.6275,0.0387,0,0.344,1.4716,0,0.3385,4.0539,0,0.2748,0.7188,2.7424,0.1695,1.3776,1.9657,0,0,0.4942,0.56,0,0.521,1.1874,1.7752,1.3596,0.5691,2.8189,0.5112,1.0419,0.6284,2.3636,0.8431,0.0997,1.7938,0.0589,0.5408,0.6735,4.4518,4.1621,0,5.165,95.966,51.577,68.642,102.612,3.471,3.031,3.962,4.442,14,1,-7
2019-01-01 15:00:00+10:00,0.2903,0.230008,0.236886,0.337199,6.7655,6.1343,5.2158,5.8633,0.262,0.4648,2.2404,2.3879,0.9625,2.5927,1.826,0.4228,1.6569,0,0.3918,0.9271,0.8716,1.1187,4.4346,4.7082,0.3854,1.3294,0,0.5477,0,4.4411,5.0109,3.5916,2.8739,0,0.9825,0,2.037,2.8065,1.4877,0.6903,1.0863,0.0408,0.9221,0,1.6803,1.1569,4.4598,4.1057,0.0908,0.8734,0,0,0,3.4397,0.6909,0,0.5439,0.5347,0.8486,0.6914,0.9439,0.9445,0.6079,1.0006,0.3091,0,0,3.7721,3.2537,0.8429,1.3546,2.5653,1.6653,0.2025,4.7203,0,3.5641,0.5107,2.0652,0.1916,2.2476,0,0.2508,2.006,3.8511,0,5.0136,2.3604,1.6256,1.6586,2.1818,0.8538,0.4826,1.2112,2.8275,0.5751,0,3.8589,1.3334,2.7848,3.3347,3.9241,1.3602,0.2708,0.8368,0.7228,4.913,4.6568,0.1946,0,0.9638,0.9868,0.1684,1.8796,2.5212,0.1088,0.5263,4.3266,3.1589,2.1572,1.0762,0.6621,0.4555,2.8666,0.8566,0.9011,4.5813,0.6852,0.2895,0,2.9046,5.1821,0.2937,0.3005,0.9649,0,2.0639,0.7407,1.6826,0.4879,95.182,55.236,79.004,83.211,3.984,2.838,4.782,4.278,15,1,-6
2019-01-01 16:00:00+10:00,0.2257,0.193321,0.240779,0.311143,5.8617,5.5537,5.0012,5.1632,3.2221,0.2396,0,0.4125,0.0166,0,0,3.1237,3.0266,0,0,1.0175,0.6569,3.7317,5.3384,0.4803,0.7481,0.0203,0.4783,4.564,0.8451,0.1721,0.3305,0,2.887,3.205,0.0536,0,2.5317,1.7092,0.801,2.4642,1.3521,1.7999,0.1162,0.3603,0.4595,3.2429,0.6401,0,0.4071,0,0.8763,0.9874,2.4669,0.3669,3.5296,2.6163,0.0642,1.7606,0.9413,0,1.642,0.4818,0.0564,0.8601,0.5379,0.8562,0.059,3.2382,3.0209,4.275,0.2014,0,0.8544,1.6792,2.1983,1.9808,2.1202,0.736,1.6996,2.5649,2.6611,0.5691,0.3302,0.8823,0.9186,1.2723,0.3976,0,3.9697,0.8994,0.3983,2.031,0.5177,0.1244,0.445,0.4677,1.0667,4.4858,0.7949,1.2156,0,0.9684,2.9824,3.5849,0.9828,1.372,0.5226,1.8571,0.2062,0,3.641,0,3.7874,1.4933,0.9041,1.6742,0.1391,5.2008,0.617,3.8266,0.72,3.9622,0.9084,5.9594,1.449,0.7398,4.0372,3.3351,5.7298,2.543,0.794,1.2878,2.1266,1.0332,1.852,0,1.8439,0.6178,1.3042,1.6826,94.445,68.329,78.086,91.877,3.525,2.314,4.307,4.09,16,1,-5
2019-01-01 17:00:00+10:00,0.2108,0.270364,0.364363,0.426766,5.0402,5.17,4.997,5.4915,0.249,2.0259,3.3242,1.7433,2.8587,1.3337,0.4399,1.2673,1.2956,2.4225,0.6704,0.9295,1.0988,0.7703,2.1148,0.6899,2.7437,2.3961,2.9677,3.14,0.2062,2.7544,0.9093,0.5904,2.282,1.5548,0.9759,1.5508,0.0284,1.5437,0.1425,0,0,0.4778,0.8231,1.909,0.6886,1.8978,0,0.9103,0.5891,0,0.9421,0,0.3071,3.2701,0,3.6463,1.0862,2.6502,0.3004,0.1482,0.5564,1.4621,0.5377,1.6096,2.5115,0.8019,1.8341,5.0957,1.9211,0.9422,0.7104,4.416,0.842,0,0.3899,2.3946,0,2.1425,0,0,3.9086,2.2249,0,0.9665,1.8535,2.006,0.854,2.5684,0,3.9679,2.3236,0.1662,0.2975,3.7661,2.4402,0.1551,2.8964,0,1.217,5.9377,0.2668,0.756,2.9704,3.8158,3.8518,1.192,0.4308,2.0909,0.2302,1.1899,0,0,0.9773,2.8205,0.1608,0.7666,0,0.7276,1.1849,3.0574,0.5229,0,0,0.2885,1.0783,2.1058,0.7866,1.4383,0.6823,0.7158,2.8227,0.6349,2.9019,1.6839,5.3394,0,1.5384,0,0.3334,0.0617,97.196,69.09,72.763,83.598,3.274,1.889,3.666,3.702,17,1,-4
2019-01-01 18:00:00+10:00,0.3613,0.356476,0.513901,0.528547,5.3748,5.2095,5.3218,5.7198,1.9969,0.9461,2.3781,3.7812,1.3193,2.3915,0,1.3175,0.0016,3.1683,0,5.3521,0,3.585,3.2488,0.1943,5.1523,1.8066,2.1253,1.1795,0,1.4883,0.6866,0.9452,4.6716,1.6085,3.1266,2.2041,0.7986,0.8264,0,0.7214,0.5836,0,0.3002,0,1.5214,1.8067,3.4759,0.5757,0,0.2178,0.2115,0.5905,2.6259,1.4433,3.2386,1.5047,0.2244,3.2874,0.6981,5.8022,0.6101,1.6851,0,2.3655,0.5411,1.4123,1.5181,2.4044,5.7506,2.6583,5.8578,2.8728,1.3196,2.2101,2.8423,0,0,1.7939,1.2733,4.5012,0.4861,0.6131,0.0163,2.6159,1.9913,3.0414,0.6277,2.7503,0.8805,0.9458,3.5174,0,3.3767,0.4222,0.7545,0.6799,2.1548,0,0,2.0777,0.7034,0,1.3544,0.0973,3.0737,3.7125,0.2042,0.7354,1.5182,2.9175,2.0692,4.4435,0.1885,2.5362,0.6677,2.1165,0.8885,0,1.8407,0.4332,2.5273,3.7554,2.1546,1.8738,0.9089,0.1089,1.2626,0.1621,5.8732,0.962,0,0.9972,2.8567,4.9615,0,0,1.9542,2.8735,4.4903,4.5591,88.173,66.767,65.913,89.714,2.248,1.421,2.946,2.955,18,1,-3
2019-01-01 19:00:00+10:00,0.7675,0.574968,0.902122,0.786968,5.0577,5.114,5.4138,5.179,1.9581,0.0815,0.2535,1.2438,0,0.1772,1.3809,2.9896,0.1974,1.2857,0.2926,2.8705,0,0,1.6113,0,2.6082,0.9416,0.2998,0,0,0.6006,0.3432,0.6488,0,3.3317,0.7614,0.7224,0.0876,0,0.7657,1.1598,1.2595,2.7688,0.9463,2.1321,1.2881,2.7318,5.7207,0.5192,2.5461,0.5079,0,0.8904,0.489,0,2.9004,0,4.108,1.208,3.9334,2.7214,0.5288,1.34,2.3193,1.8564,0.7951,0,1.552,3.6618,2.6406,3.9535,0.3289,1.5057,0.2244,1.6085,2.4088,4.7147,0.5793,0.5709,0,1.7843,1.3015,1.3687,0,3.3122,3.4829,0.0509,2.3655,0.7114,0,2.119,2.3397,0.4181,0.0864,0.4815,0.6606,3.3571,0.4502,0.0127,1.9809,0.9842,2.8722,0.8359,1.285,0,0.9366,0.4404,0.1453,5.9021,1.3444,0.7097,0.3212,0.0311,2.1629,1.2139,1.4597,2.7047,3.3938,1.4992,0.5706,0,4.415,0,0.6332,1.2197,1.4045,0.712,5.6327,0,0.8216,0.6798,1.5408,0.9496,0.7445,0,1.79,0.7012,1.3416,3.4494,0,0,97.08,79.831,72.958,102.415,1.685,0.79,2.265,2.308,19,1,-2
